x,y,z
0.8,-1.85,3.7383741150393674e-4
0.9,-1.85,3.938118119629458e-4
1.0,-1.85,4.06262879291621e-4
1.1,-1.85,4.04951876364698e-4
1.2000000000000002,-1.85,3.8217309974819476e-4
1.3,-1.85,3.332273402204798e-4
1.4000000000000001,-1.85,2.6319030321406915e-4
1.5,-1.85,1.875835050183365e-4
1.6,-1.85,1.2244071696466987e-4
1.7000000000000002,-1.85,7.49974755106593e-5
1.8,-1.85,4.411700071482489e-5
1.9000000000000001,-1.85,2.5347905058261215e-5
2.0,-1.85,1.4378157199325052e-5
2.1,-1.85,8.102741072178962e-6
2.2,-1.85,4.553139526985289e-6
2.3000000000000003,-1.85,2.5566610888279594e-6
2.4000000000000004,-1.85,1.4365172712138777e-6
2.5,-1.85,8.084655677261789e-7
2.6,-1.85,4.561892876718989e-7
2.7,-1.85,2.584313824366094e-7
2.8000000000000003,-1.85,1.4737748466348863e-7
2.9000000000000004,-1.85,8.518000462577958e-8
3.0,-1.85,5.0816691464533675e-8
3.1,-1.85,3.279273631569803e-8
3.2,-1.85,2.5157378044512127e-8
3.3000000000000003,-1.85,2.544393777494894e-8
3.4000000000000004,-1.85,3.380877515971326e-8
